feature,coefficient
bert_surprisal_std,1.2615145025819978
sentence_position,-1.0761218095650928
bert_surprisal_var,-1.0524060945515432
gpt2_surprisal_sum,0.8656282542313735
lexical_density,-0.6832821669918294
sentence_position_norm,0.5199010072266615
gpt2_surprisal_var,-0.48363098060389415
gpt2_surprisal_std,0.41887735739087595
sentence_length_words,-0.3960201675135944
noun_ratio,0.39566415359136736
verb_ratio,0.3686458709217535
bert_surprisal_sum,-0.34580957443499366
bert_surprisal_min,0.3368195023143185
gpt2_surprisal_min,-0.2398168910456548
named_entity_density,0.20275633067785667
causal_marker_ratio,0.1979347425672747
gpt2_surprisal_mean,-0.192374263808983
pronoun_ratio,-0.16028305929989178
type_token_ratio,0.09876574507607778
avg_word_length,-0.08677051724412267
