para_id,sent_id,sentence,label
P000000,P000000_S000,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress.",0
P000000,P000000_S001,"Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child.",1
P000000,P000000_S002,"Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time.",1
P000000,P000000_S003,"Their hiatus saw the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".",1
P000001,P000001_S000,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day (2006), which contained hits ""Déjà Vu"", ""Irreplaceable"", and ""Beautiful Liar"".",1
P000001,P000001_S001,"Beyoncé also ventured into acting, with a Golden Globe-nominated performance in Dreamgirls (2006), and starring roles in The Pink Panther (2006) and Obsessed (2009).",1
P000001,P000001_S002,"Her marriage to rapper Jay Z and portrayal of Etta James in Cadillac Records (2008) influenced her third album, I Am... Sasha Fierce (2008), which saw the birth of her alter-ego Sasha Fierce and earned a record-setting six Grammy Awards in 2010, including Song of the Year for ""Single Ladies (Put a Ring on It)"".",1
P000001,P000001_S003,"Beyoncé took a hiatus from music in 2010 and took over management of her career; her fourth album 4 (2011) was subsequently mellower in tone, exploring 1970s funk, 1980s pop, and 1990s soul.",0
P000001,P000001_S004,"Her critically acclaimed fifth studio album, Beyoncé (2013), was distinguished from previous releases by its experimental production and exploration of darker themes.",0
P000002,P000002_S000,"A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment.",1
P000002,P000002_S001,"On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music.",0
P000002,P000002_S002,"Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time.",1
P000002,P000002_S003,She has won 20 Grammy Awards and is the most nominated woman in the award's history.,1
P000002,P000002_S004,The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade.,1
P000002,P000002_S005,"In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011.",0
P000002,P000002_S006,Time listed her among the 100 most influential people in the world in 2013 and 2014.,1
P000002,P000002_S007,Forbes magazine also listed her as the most powerful female musician of 2015.,1
P000003,P000003_S000,"Beyoncé Giselle Knowles was born in Houston, Texas, to Celestine Ann ""Tina"" Knowles (née Beyincé), a hairdresser and salon owner, and Mathew Knowles, a Xerox sales manager.",1
P000003,P000003_S001,Beyoncé's name is a tribute to her mother's maiden name.,1
P000003,P000003_S002,Beyoncé's younger sister Solange is also a singer and a former member of Destiny's Child.,1
P000003,P000003_S003,"Mathew is African-American, while Tina is of Louisiana Creole descent (with African, Native American, French, Cajun, and distant Irish and Spanish ancestry).",1
P000003,P000003_S004,"Through her mother, Beyoncé is a descendant of Acadian leader Joseph Broussard.",1
P000003,P000003_S005,She was raised in a Methodist household.,1
P000004,P000004_S000,"Beyoncé attended St. Mary's Elementary School in Fredericksburg, Texas, where she enrolled in dance classes.",1
P000004,P000004_S001,"Her singing talent was discovered when dance instructor Darlette Johnson began humming a song and she finished it, able to hit the high-pitched notes.",1
P000004,P000004_S002,"Beyoncé's interest in music and performing continued after winning a school talent show at age seven, singing John Lennon's ""Imagine"" to beat 15/16-year-olds.",1
P000004,P000004_S003,"In fall of 1990, Beyoncé enrolled in Parker Elementary School, a music magnet school in Houston, where she would perform with the school's choir.",1
P000004,P000004_S004,She also attended the High School for the Performing and Visual Arts and later Alief Elsik High School.,0
P000004,P000004_S005,Beyoncé was also a member of the choir at St. John's United Methodist Church as a soloist for two years.,1
P000005,P000005_S000,"At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition for an all-girl entertainment group.",1
P000005,P000005_S001,"They were placed into a group with three other girls as Girl's Tyme, and rapped and danced on the talent show circuit in Houston.",1
P000005,P000005_S002,"After seeing the group, R&B producer Arne Frager brought them to his Northern California studio and placed them in Star Search, the largest talent show on national TV at the time.",1
P000005,P000005_S003,"Girl's Tyme failed to win, and Beyoncé later said the song they performed was not good.",0
P000005,P000005_S004,In 1995 Beyoncé's father resigned from his job to manage the group.,1
P000005,P000005_S005,"The move reduced Beyoncé's family's income by half, and her parents were forced to move into separated apartments.",0
P000005,P000005_S006,Mathew cut the original line-up to four and the group continued performing as an opening act for other established R&B girl groups.,0
P000005,P000005_S007,"The girls auditioned before record labels and were finally signed to Elektra Records, moving to Atlanta Records briefly to work on their first recording, only to be cut by the company.",1
P000005,P000005_S008,"This put further strain on the family, and Beyoncé's parents separated.",0
P000005,P000005_S009,"On October 5, 1995, Dwayne Wiggins's Grass Roots Entertainment signed the group.",1
P000005,P000005_S010,"In 1996, the girls began recording their debut album under an agreement with Sony Music, the Knowles family reunited, and shortly after, the group got a contract with Columbia Records.",1
P000006,P000006_S000,"The group changed their name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah.",1
P000006,P000006_S001,"In 1997, Destiny's Child released their major label debut song ""Killing Time"" on the soundtrack to the 1997 film, Men in Black.",1
P000006,P000006_S002,"The following year, the group released their self-titled debut album, scoring their first major hit ""No, No, No"".",1
P000006,P000006_S003,"The album established the group as a viable act in the music industry, with moderate sales and winning the group three Soul Train Lady of Soul Awards for Best R&B/Soul Album of the Year, Best R&B/Soul or Rap New Artist, and Best R&B/Soul Single for ""No, No, No"".",0
P000006,P000006_S004,The group released their multi-platinum second album The Writing's on the Wall in 1999.,1
P000006,P000006_S005,"The record features some of the group's most widely known songs such as ""Bills, Bills, Bills"", the group's first number-one single, ""Jumpin' Jumpin'"" and ""Say My Name"", which became their most successful song at the time, and would remain one of their signature songs.",1
P000006,P000006_S006,"""Say My Name"" won the Best R&B Performance by a Duo or Group with Vocals and the Best R&B Song at the 43rd Annual Grammy Awards.",0
P000006,P000006_S007,The Writing's on the Wall sold more than eight million copies worldwide.,0
P000006,P000006_S008,"During this time, Beyoncé recorded a duet with Marc Nelson, an original member of Boyz II Men, on the song ""After All Is Said and Done"" for the soundtrack to the 1999 film, The Best Man.",1
P000007,P000007_S000,LeToya Luckett and Roberson became unhappy with Mathew's managing of the band and eventually were replaced by Farrah Franklin and Michelle Williams.,1
P000007,P000007_S001,"Beyoncé experienced depression following the split with Luckett and Roberson after being publicly blamed by the media, critics, and blogs for its cause.",1
P000007,P000007_S002,Her long-standing boyfriend left her at this time.,1
P000007,P000007_S003,"The depression was so severe it lasted for a couple of years, during which she occasionally kept herself in her bedroom for days and refused to eat anything.",1
P000007,P000007_S004,Beyoncé stated that she struggled to speak about her depression because Destiny's Child had just won their first Grammy Award and she feared no one would take her seriously.,0
P000007,P000007_S005,Beyoncé would later speak of her mother as the person who helped her fight it.,1
